File_Name,Atomic_weight,Number_of_atoms,Cv_molar_250,Cv_molar_260,Cv_molar_270,Cv_molar_280,Cv_molar_290,Cv_molar_300,Cv_molar_310,Cv_molar_320,Cv_molar_330,Cv_molar_340,Cv_molar_350,Cv_molar_360,Cv_molar_370,Cv_molar_380,Cv_molar_390,Cv_molar_400,Cv_gravimetric_250,Cv_gravimetric_260,Cv_gravimetric_270,Cv_gravimetric_280,Cv_gravimetric_290,Cv_gravimetric_300,Cv_gravimetric_310,Cv_gravimetric_320,Cv_gravimetric_330,Cv_gravimetric_340,Cv_gravimetric_350,Cv_gravimetric_360,Cv_gravimetric_370,Cv_gravimetric_380,Cv_gravimetric_390,Cv_gravimetric_400,Opt
RSM0998.traj,1501.776000000001,100,11.115355391307261,11.404982407611577,11.688285006960536,11.965348632748919,12.23623089952259,12.500971243594286,12.759598807360891,13.01213871573335,13.258616925912257,13.49906383983126,13.733516865677576,13.962022104472817,14.184635322653703,14.401422354159841,14.612459057328884,14.817830934026977,0.7401473582816116,0.7594329918450933,0.7782974962285008,0.796746560921796,0.8147840223523737,0.8324125064985909,0.8496339538893206,0.8664500375377779,0.8828624858775375,0.8988733233072876,0.9144850407569148,0.9297007079932565,0.9445240383821352,0.958959415662511,0.973011891076224,0.9866871580067178,True
RSM1042.traj,1428.031999999999,100,10.303971767552612,10.600758882556507,10.89269789525882,11.17969490804141,11.461646813069736,11.738447576841978,12.009993682118663,12.276188668850136,12.536946764281309,12.792195634245203,13.041878319426246,13.285954441608826,13.524400776678231,13.757211295145186,13.984396769105658,14.205984038583765,0.7215504811903808,0.7423334268809462,0.7627768772169551,0.7828742568822981,0.8026183456021814,0.8220017182277417,0.8410171258150148,0.8596578136099292,0.8779177752516272,0.8957919454357615,0.9132763355041242,0.9303681179139428,0.9470656663630955,0.9633685586279016,0.9792775490399143,0.9947945171105251,True
RSM1064.traj,1186.46,102,9.381972720027349,9.68048335392926,9.97481690953622,10.264817431231167,10.550327039189947,10.831191192970413,11.107263136133172,11.378407532396432,11.64450331713195,11.905445805734944,12.16114811701093,12.411541982469386,12.656578020358692,12.896225556538297,13.130472073534916,13.359322365264925,0.8065684620153984,0.8322314297159488,0.8575352938764849,0.8824666469881656,0.9070119161180104,0.9311578154198054,0.9548917282382747,0.9782020197094179,1.0010782819036959,1.0235115150826528,1.0454942500675244,1.067020617814235,1.0880863729721917,1.1086888784846571,1.1288270582240965,1.1485013243236368,True
RSM1072.traj,1341.9219999999993,103,10.331784820277036,10.613101781073182,10.89018841707448,11.162950327083102,11.431275736328068,11.695044900546108,11.954137775979124,12.208440100360113,12.457848043995382,12.702271599325655,12.941636880271027,13.175887499398076,13.404985182532053,13.628909768244638,13.847658725041223,14.061246303256393,0.7930221253459853,0.8146147715370478,0.835882716699385,0.8568187150144049,0.8774141871448501,0.8976599420504692,0.9175467657031111,0.9370658878363215,0.9562093389418498,0.974970210437375,0.9933428311540584,1.0113228730418031,1.0289073983441677,1.0460948595590491,1.0628850623801136,1.0792791006000417,True
RSM1099.traj,1950.5651439760015,104,13.954607105181058,14.250579543164,14.537329555633416,14.815011886808982,15.083780197728467,15.343794094221705,15.595223302062092,15.838249689491665,16.073067724083398,16.299883840398845,16.518915094369074,16.73038739309875,16.934533515720506,17.131591081411973,17.321800573372375,17.50540349076854,0.7440300793956388,0.7598107025885059,0.7750996055963955,0.7899050390531794,0.8042351958397658,0.8180985858007778,0.8315042583547839,0.8444619103310497,0.8569819103284662,0.8690752650003963,0.880753547309118,0.8920288021427277,0.9029134407912915,0.9134201326058177,0.9235616996408765,0.9333510181202783,True
RSM1107.traj,1351.7639999999992,104,10.819690664281488,11.12227625637657,11.419141649756769,11.710222096325085,11.995443626614357,12.2747306132546,12.548011881190309,12.815225462495665,13.076322121971844,13.331267797221747,13.5800451044254,13.822654060341675,14.059112164177144,14.289453971840754,14.513730281430352,14.732007033926159,0.8324292029416935,0.8557090813656554,0.8785488676830457,0.9009435804014677,0.9228875285685176,0.9443748936785409,0.9654001997714046,0.9859586792513707,1.0060465441342368,1.0256611737781614,1.0448012307327628,1.0634667162874103,1.0816589767699272,1.0993806707912321,1.1166357065795194,1.1334291574034532,True
RSM1111.traj,1128.1639999999984,104,9.669522105890778,9.919968321254817,10.167050403460243,10.410819959917136,10.651273498880974,10.8883678142109,11.12203311318763,11.352183944535417,11.578728062119318,11.801573410784936,12.02063344890227,12.235831032348454,12.447101081653393,12.654392241964839,12.857667727738098,13.056905523231297,0.8913866237644902,0.9144740528952372,0.9372513588094167,0.9597232989453516,0.9818895514159491,1.0037461332553912,1.0252866106093752,1.0465031061367718,1.0673871161111423,1.0879301544116238,1.108124243182585,1.1279622708792703,1.1474382381390957,1.166547410805827,1.1852863977974515,1.203653169588869,True
RSM1142.traj,1426.4799999999989,108,9.990133905082029,10.271221293510449,10.549041410199045,10.823339429800493,11.093860934205626,11.360360579723327,11.622608631339554,11.880395701958184,12.1335359884494,12.381869259871662,12.62526182265019,12.863606660540992,13.09682292265101,13.324854910044419,13.547670690334357,13.765260450125536,0.7563614363670433,0.7776427988469024,0.7986767934366397,0.819444127094985,0.8399255376130115,0.8601024498136113,0.8799574702657401,0.8994747460963244,0.9186402099942069,0.9374417307401018,0.9558691862810705,0.9739144743273148,0.9915714735897525,1.0088359670551277,1.025705537095586,1.0421794407307212,True
RSM1162.traj,1820.3759999999986,108,12.247479274373166,12.523775599024459,12.794314436136252,13.059136683207207,13.318267091038239,13.571720465695103,13.819506761420584,14.061635199280614,14.298117522570294,14.528970488621187,14.754217690995885,14.973890802293182,15.188030323920955,15.396685924402245,15.599916441891752,15.797789619778051,0.7266233798030204,0.7430155993567497,0.7590662363724396,0.7747777172333515,0.7901515103649636,0.8051884941875043,0.8198892592702959,0.8342543526844496,0.8482844711409033,0.8619806088253688,0.8753441655062234,0.8883770202681561,0.9010815759949947,0.9134607794408649,0.92551812137949,0.9372576209178932,True
RSM1175.traj,1327.0159999999992,108,10.165348528189078,10.466765563505307,10.763149394460815,11.054464001007945,11.340648683781197,11.621627863334627,11.897319298287906,12.167640800326275,12.432515556072671,12.691876188834488,12.945667706723793,13.193849488562073,13.436396456854405,13.673299579688752,13.904565832352764,14.130217736206257,0.8273130399666779,0.8518440477421326,0.8759654251356191,0.8996742406337669,0.9229655541819919,0.9458332147013604,0.968270528927379,0.990270807914327,1.0118278001590406,1.0329360221686292,1.0535909983950236,1.0737894228590348,1.0935292546135666,1.1128097585909937,1.1316315024793218,1.1499963191930442,True
